"Teapplix SKU",,Asin,UPC,Location,Xref3,"Unit Cost","Total Cost","Qty on Hand","Qty to Ship","Qty Available","Qty Reserve","Item Title"
AAA-M1-FA-1X-LXG-000004BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> LG ESCAPE2 H441 BLACK",13.51,94.57,7,0,7,,"LG Escape2 H441 H443 Digitizer + LCD Fused - Black + Main tool kit"
AAA-M1-FA-1X-LXG-000009BLK000,1,,,200,"LG K7 K330 BLACK",20.19,60.57,3,0,0,3,"LG K7 K330 Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-LXG-000009BLK000-KZ,1,,,200,"LG K7 K330 BLACK",20.19,0,0,0,0,,"Touch Screen Digitizer Glass Panel+LCD Display Panel for Black LG K7 K330"
AAA-M1-FA-1X-LXG-000009BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> LG K7 K330 BLACK",20.19,0,0,0,0,,"LG K7 K330 Digitizer + LCD Fused - Black + Main tool kit"
AAA-M1-FA-1X-LXG-000009WHT000,1,,,200,"LG K7 K330 LS675",20.24,0,0,1,-1,,"LG K K7 AS330 K330 MS330 LS675 MetroPCS Digitizer + LCD Fused - White"
AAA-M1-FA-1X-LXG-000009WHT000-KZ,1,,,200,"LG K7 K330 LS675",20.24,-20.24,-1,0,-1,,
AAA-M1-FA-1X-LXG-000009WHT000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> LG K7 K330 LS675",20.24,-20.24,-1,0,-1,,"LG K K7 AS330 K330 MS330 LS675 MetroPCS Digitizer + LCD Fused - White + Main tool kit"
AAA-M1-FA-1X-LXG-000010GRY000,1,,,200,"LG G3 STYLUS D690 GRAY",25.74,720.72,28,0,28,,"LG G3 Stylus D690 D693N D690N Digitizer + LCD Fused - Gray"
AAA-M1-FA-1X-LXG-000010GRY000-KZ,1,,,200,"LG G3 STYLUS D690 GRAY",25.74,720.72,28,0,28,,"Touch Screen Digitizer Glass Panel+LCD Display Panel for Gray LG G3 Stylus D690"
AAA-M1-FA-1X-LXG-000010GRY000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> LG G3 STYLUS D690 GRAY",25.74,720.72,28,0,28,,"LG G3 Stylus D690 D693N D690N Digitizer + LCD Fused - Gray + Main tool kit"
AAA-M1-FA-1X-LXG-000011BLK000,1,,,200,"LG K SERIES K10 BLACK",35.97,-71.94,-2,0,-2,,"LG K Series K10 K428 K430T K430dsf K430N Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-LXG-000011BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> LG K10 KSERIES K430 BLACK",35.97,-71.94,-2,0,-2,,"LG K Series K10 K428 K430T K430dsf K430N Digitizer + LCD Fused - Black + Main Tool Kit"
AAA-M1-FA-1X-LXG-000011WHT000,1,,,200,"LG K SERIES K10 K430 WHITE",38.08,0,0,0,0,,"LG K Series K10 K428 K430T K430dsf K430N Digitizer + LCD Fused - White"
AAA-M1-FA-1X-LXG-000011WHT000-KZ,1,,,200,"LG K SERIES K10 K430 WHITE",38.08,0,0,0,0,,"Touch Screen Digitizer Glass Panel+LCD Display for White LG K Series K10 K428"
AAA-M1-FA-1X-LXG-000011WHT000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> LG K10 KSERIES K430 WHITE",38.08,0,0,0,0,,"LG K Series K10 K428 K430T K430dsf K430N Digitizer + LCD Fused - White + Main tool kit"
AAA-M1-FA-1X-LXG-000012BLK000,1,,,200,"LG NEXUS 5X H798 BLACK",24.66,0,0,0,0,,"LG Google Nexus 5X H790 H791 H798 Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-LXG-000012BLK000-KZ,1,,,200,"LG NEXUS 5X H798 BLACK",24.66,0,0,0,0,,
AAA-M1-FA-1X-LXG-000012BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> LG 5X NEXUS H798 BLACK",24.66,0,0,0,0,,"Google Nexus 5X H790 H791 H798 Digitizer + LCD + Frame Fused - Black + Main tool kit"
AAA-M1-FA-1X-LXG-000013BLK000,1,,,200,"LG ESCAPE 3 K8 K371 BLACK",26.86,0,0,0,0,,"LG Phoenix 2 Escape 3 K8 K350DS K350E K350N K373 K371 Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-LXG-000013BLK000-KZ,1,,,200,"LG ESCAPE 3 K8 K371 BLACK",26.86,0,0,0,0,,
AAA-M1-FA-1X-LXG-000013BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> LG ESCAPE 3 K8 K371 BLACK",26.86,0,0,0,0,,"LG Phoenix 2 Escape 3 K8 K350DS K350E K350N K373 K371 Digitizer + LCD Fused - Black + Main tool kit"
AAA-M1-FA-1X-LXG-000014BLK000,1,,,,,71.77,358.85,5,0,5,,"LG V20 H910 H915 H918 LS997 US996 VS995 Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-LXG-000014BLK000-OHT,1,,,,,71.77,358.85,5,0,5,,
AAA-M1-FA-1X-LXG-000015BLK000,1,,,,,40.32,403.2,10,0,10,,"LG G5 H820 H830 LS992 RS998 US992 VS987 Digitzer + LCD Fused - Black"
AAA-M1-FA-1X-LXG-000015BLK000-OHT,1,,,,,40.32,403.2,10,0,10,,
AAA-M1-FA-1X-MOT-000000BLK000,1,,,200,"MOTO G XT1032 BLACK",17.29,69.16,4,0,4,,"Motorola Moto G XT1032 XT1036 Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-MOT-000000BLK000-KZ,1,,,200,"MOTO G XT1032 BLACK",17.29,69.16,4,0,4,,"Touch Screen Glass Digitizer+LCD Fused Assembly for Black Motorola Moto G XT1036"
AAA-M1-FA-1X-MOT-000000BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> MOTO G XT1032 BLACK",17.29,69.16,4,0,4,,"Motorola Moto G XT1032 XT1036 Digitizer + LCD Fused - Black + Main tool kit"
AAA-M1-FA-1X-MOT-000001BLK000,1,,,200,"MOTO MINI XT1030 BLACK",13.2,-26.4,-2,0,-2,,"Motorola DROID Mini XT1030 Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-MOT-000001BLK000-KZ,1,,,200,"MOTO MINI XT1030 BLACK",13.2,-26.4,-2,0,-2,,"Touch Screen Digitizer+LCD Fused Black Motorola DROID Mini 4.3"" XT1030 Verizon"
AAA-M1-FA-1X-MOT-000001BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> T4 MOTO MINI XT1030 BLACK",13.2,-26.4,-2,0,-2,,"Motorola DROID Mini XT1030 Digitizer + LCD Fused - Black + Main tool kit + T4"
AAA-M1-FA-1X-MOT-000005BLK000,1,,,200,"MOTO XPLAY MAXX 2 XT1561 XT1565 BLACK",24.96,499.2,20,0,20,,"Motorola Droid Maxx 2 X Play XT1561 XT1562 XT1564 XT1565 Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-MOT-000005BLK000-KZ,1,,,200,"MOTO XPLAY MAXX 2 XT1561 XT1565 BLACK",24.96,499.2,20,0,20,,"Touch Screen Digitizer+LCD Fused Assembly for Black Motorola Moto X Play XT1561"
AAA-M1-FA-1X-MOT-000005BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> MOTO XPLAY MAXX 2 XT1561 XT1565 BLACK",24.96,499.2,20,0,20,,"Motorola Droid Maxx 2 X Play XT1561 XT1562 XT1564 XT1565 Digitizer + LCD Fused - Black + Main tool kit"
AAA-M1-FA-1X-MOT-000005WHT000,1,,,200,"MOTO XPLAY MAXX 2 XT1561 XT1565 WHITE",20.92,41.84,2,0,2,,"Motorola Droid Maxx 2 X Play XT1561 XT1562 XT1564 XT1565 Digitizer + LCD Fused - White"
AAA-M1-FA-1X-MOT-000005WHT000-KZ,1,,,200,"MOTO XPLAY MAXX 2 XT1561 XT1565 WHITE",20.92,41.84,2,0,2,,"Touch Screen Digitizer+LCD Display White for Motorola Droid X Play XT1561"
AAA-M1-FA-1X-MOT-000005WHT000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> MOTO XPLAY MAXX 2 XT1561 WHITE",20.92,41.84,2,0,2,,"Motorola Droid Maxx 2 X Play XT1561 XT1562 XT1564 XT1565 Digitizer + LCD Fused - White + Main tool kit"
AAA-M1-FA-1X-MOT-000006BLK000,1,,,200,"MOTO MOTO E 2ND XT1511",12.84,0,0,0,0,,"Motorola Moto E 2nd Gen 4.5"" XT1505 XT1511 XT1524 XT1526 XT1527 XT1528 XT1529 Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-MOT-000006BLK000-KZ,1,,,200,"MOTO E 2ND XT1526 BLACK",12.84,0,0,0,0,,"Touch Screen Digitizer Glass+LCD Assembly Black Motorola Moto E 2nd Gen XT1511"
AAA-M1-FA-1X-MOT-000006BLK000-OHT,1,,,200,"<span style=""font-size: 14pt; font-family: Impact; color: #DF3A01"">TOOLS</span> MOTO E 2ND XT1526 BLACK",12.84,0,0,0,0,,"Motorola Moto E 2nd Gen 4.5"" XT1526 XT1524 XT1511 XT1505 XT1527 Digitizer + LCD Fused - Black + Main tool kit"
AAA-M1-FA-1X-MOT-000009BLK000,1,,,200,"MOTO E XT1021 BLACK",10.76,64.56,6,0,6,,"Motorola Moto E XT1021 XT1022 XT1025 Digitizer + LCD Fused - Black"
AAA-M1-FA-1X-MOT-000009BLK000-KZ,1,,,200,"MOTO E XT1021 BLACK",10.76,64.56,6,0,6,,
